City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Batagay-Alyta,RU,2022-08-16 23:22:40,67.8006,130.4114,59.18,77,99,2.21
68,High Rock,BS,2022-08-16 23:22:41,26.6208,-78.2833,86.02,68,31,11.32
69,Bethel,US,2022-08-16 23:22:41,41.3712,-73.414,78.89,60,0,8.05
70,Demba,CD,2022-08-16 23:22:42,-5.51,22.2667,74.93,54,99,1.57
71,Ponta Do Sol,PT,2022-08-16 23:22:42,32.6667,-17.1,75.0,82,43,8.41
72,Manta,EC,2022-08-16 23:22:43,-0.95,-80.7333,72.91,77,21,7.99
73,Chuy,UY,2022-08-16 23:22:17,-33.6971,-53.4616,49.68,72,1,6.11
74,Whitehorse,CA,2022-08-16 23:20:11,60.7161,-135.0538,65.8,42,99,15.01
75,Tamworth,GB,2022-08-16 23:22:44,52.634,-1.6959,63.64,91,100,7.0
76,Luebo,CD,2022-08-16 23:22:44,-5.35,21.4167,78.75,45,85,1.74
77,Butaritari,KI,2022-08-16 23:22:45,3.0707,172.7902,81.73,70,94,17.94
78,Padang,ID,2022-08-16 23:22:45,-0.9492,100.3543,73.45,83,94,3.42
79,Neryungri,RU,2022-08-16 23:22:46,56.6709,124.6491,50.56,92,100,2.15
80,Guerrero Negro,MX,2022-08-16 23:22:46,27.9769,-114.0611,82.0,55,9,14.63
81,Longyearbyen,SJ,2022-08-16 23:21:39,78.2186,15.6401,38.71,98,100,11.41
82,Cherskiy,RU,2022-08-16 23:22:47,68.75,161.3,57.09,42,100,16.93
83,Kyren,RU,2022-08-16 23:22:47,51.6828,102.1408,50.45,93,52,0.76
84,Svetlogorsk,BY,2022-08-16 23:22:48,52.6333,29.7333,70.56,52,100,7.49
85,Celestun,MX,2022-08-16 23:21:20,20.8667,-90.4,84.25,75,9,16.87
86,Puerto Ayora,EC,2022-08-16 23:22:48,-0.7393,-90.3518,69.55,93,97,5.01
87,Marathon,US,2022-08-16 23:22:49,44.9,-89.7668,77.81,52,31,5.59
88,Cortez,US,2022-08-16 23:22:49,37.3489,-108.5859,85.03,39,0,12.01
89,Broome,US,2022-08-16 23:22:50,42.2506,-75.833,75.07,64,100,9.22
90,Qandala,SO,2022-08-16 23:22:50,11.472,49.8728,86.81,66,41,2.19
91,Mugur-Aksy,RU,2022-08-16 23:23:50,50.35,90.5,37.0,83,11,4.14
92,Torbay,CA,2022-08-16 23:23:51,47.6666,-52.7314,60.58,92,100,4.61
93,Mataura,NZ,2022-08-16 23:23:51,-46.1927,168.8643,52.0,91,84,2.66
94,Karoi,ZW,2022-08-16 23:23:52,-16.8099,29.6925,56.55,81,1,4.76
95,Rokytnice Nad Jizerou,CZ,2022-08-16 23:23:52,50.7256,15.4336,70.09,82,0,1.45
96,Hilo,US,2022-08-16 23:21:35,19.7297,-155.09,87.28,70,0,10.36
97,Saint Albans,GB,2022-08-16 23:22:51,51.75,-0.3333,66.9,90,40,4.61
98,Pilar,BR,2022-08-16 23:23:53,-9.5972,-35.9567,71.53,95,32,4.81
99,Sao Joao,BR,2022-08-16 23:23:53,-8.8756,-36.3667,61.03,98,34,6.64
100,Verkhoyansk,RU,2022-08-16 23:23:54,67.5447,133.385,64.26,61,71,3.22
101,Xuanwu,CN,2022-08-16 23:23:54,32.069,118.8138,82.35,90,62,6.53
102,Virginia Beach,US,2022-08-16 23:23:55,36.8529,-75.978,78.03,72,20,14.97
103,Saint George,US,2022-08-16 23:23:55,37.1041,-113.5841,90.43,40,0,16.11
104,Itaituba,BR,2022-08-16 23:23:56,-4.2761,-55.9836,84.36,74,20,0.0
105,Hithadhoo,MV,2022-08-16 23:23:56,-0.6,73.0833,82.36,76,31,11.68
106,Kavieng,PG,2022-08-16 23:23:57,-2.5744,150.7967,82.58,77,46,12.24
107,Vyborg,RU,2022-08-16 23:23:57,60.7076,28.7528,69.13,66,87,5.17
108,Cockburn Town,TC,2022-08-16 23:19:57,21.4612,-71.1419,83.59,78,12,12.73
109,Virarajendrapet,IN,2022-08-16 23:23:58,12.2,75.8,65.23,91,57,2.06
110,Ribeira Grande,PT,2022-08-16 23:23:58,38.5167,-28.7,72.37,66,21,13.6
111,Sioux Lookout,CA,2022-08-16 23:23:59,50.1001,-91.917,68.07,77,75,8.05
112,Ancud,CL,2022-08-16 23:23:59,-41.8697,-73.8203,43.88,73,22,18.23
113,Atuona,PF,2022-08-16 23:23:59,-9.8,-139.0333,76.57,79,13,19.42
114,Hasaki,JP,2022-08-16 23:24:00,35.7333,140.8333,86.29,83,99,6.8
115,Santa Fe,AR,2022-08-16 23:24:01,-31.6333,-60.7,60.03,52,1,4.0
116,Pevek,RU,2022-08-16 23:24:01,69.7008,170.3133,41.7,70,84,5.37
117,Labuhan,ID,2022-08-16 23:24:02,-6.8844,112.2051,76.35,85,27,5.99
118,Miracema,BR,2022-08-16 23:24:02,-21.4122,-42.1967,71.2,52,0,4.68
119,Sisimiut,GL,2022-08-16 23:24:02,66.9395,-53.6735,39.79,89,82,6.17
120,Hualmay,PE,2022-08-16 23:24:03,-11.0964,-77.6139,62.44,79,11,11.63
121,Rolla,US,2022-08-16 23:24:03,37.9514,-91.7713,68.59,93,100,5.75
122,Bay Saint Louis,US,2022-08-16 23:24:03,30.3088,-89.33,93.27,52,0,6.91
123,Lompoc,US,2022-08-16 23:24:04,34.6391,-120.4579,81.84,68,0,12.66
124,Auki,SB,2022-08-16 23:24:04,-8.7676,160.7034,84.13,64,6,0.83
125,San Cristobal,VE,2022-08-16 23:20:48,7.7669,-72.225,71.78,91,69,2.93
